max_dropouts,min_thickness,max_ph_offset,drop_points,chip_run,dropout_run,dropout_run_relaxed,shiner_run,any_defect_run,any_defect_relaxed,SubID,label
0.0,2.36,3.1538,0,0,0,0,0,0,0,260715811893,1
0.0,2.42,2.7297,0,0,0,0,0,0,0,260715811895,1
10.0,1.8,4.5316,0,0,0,0,0,0,1,260715811914,1
2.0,2.4,4.9616,0,0,0,0,0,0,0,260715811915,1
3.0,2.46,3.8963,0,0,0,0,0,0,0,260715811923,1
3.0,2.18,5.0404,0,0,0,0,0,0,1,260715811988,1
2.0,2.38,3.6154,0,0,0,0,0,0,0,260715812642,1
0.0,2.26,4.2154,0,0,0,0,0,0,0,260715812652,1
0.0,2.48,2.1927,0,0,0,0,0,0,0,260715812734,1
2.0,2.4,3.9579,0,0,0,0,0,0,0,260715812874,1
0.0,2.28,4.2617,0,0,0,0,0,0,0,260715813205,1
3.0,2.46,2.6681,0,0,0,0,0,0,0,260715813215,1
0.0,2.34,4.4933,0,0,0,0,0,0,0,260715813626,1
2.0,2.36,4.558,0,0,0,0,0,0,0,260715813930,1
0.0,2.3,6.1375,0,0,0,0,0,0,0,260715814048,1
2.0,2.38,5.7577,0,0,0,0,0,0,0,260715814918,1
0.0,2.32,5.133,0,0,0,0,0,0,0,260715815216,1
126.0,2.3,5.3013,1,0,0,0,0,0,0,260715815221,1
0.0,2.38,4.6136,0,0,0,0,0,0,0,260715815303,1
0.0,2.32,4.1333,0,0,0,0,0,0,0,260715815351,1
0.0,2.4,2.4303,0,0,0,0,0,0,0,260715816102,1
2.0,2.36,3.7522,0,0,0,0,0,0,0,260715816106,1
0.0,2.38,5.1047,0,0,0,0,0,0,0,260715817089,1
2.0,2.38,2.8089,0,0,0,0,0,0,0,260715817120,1
3.0,2.36,6.1868,0,0,0,0,0,0,0,260715817126,1
2.0,2.36,6.6367,0,0,0,0,0,0,0,260715817442,1
0.0,2.36,4.0634,0,0,0,0,0,0,0,260716790020,1
2.0,2.36,4.7138,0,0,0,0,0,0,0,260716790242,1
2.0,2.38,3.1406,0,0,0,0,0,0,0,260716790839,1
0.0,2.42,1.9877,0,0,0,0,0,0,0,260716791196,1
0.0,2.26,4.9699,0,0,0,0,0,0,0,260716791348,1
2.0,2.32,5.2782,0,0,0,0,0,0,0,260716791485,1
0.0,2.32,4.5141,0,0,0,0,0,0,0,260716792015,1
5.0,2.28,3.6497,0,0,0,0,0,0,0,260716792016,1
0.0,2.46,2.6548,0,0,0,0,0,0,0,260716792041,1
0.0,2.46,2.3027,0,0,0,0,0,0,0,260716792085,1
94.0,2.38,4.1753,1,0,0,0,0,0,0,260716792296,1
0.0,2.34,4.0886,0,0,0,0,0,0,0,260716792297,1
15.0,2.34,4.0887,1,0,0,0,0,0,0,260716792386,1
0.0,2.26,5.8871,0,0,0,0,0,0,0,260716792491,1
0.0,2.28,4.0696,0,0,0,0,0,0,0,260716792493,1
2.0,2.4,4.0978,0,0,0,0,0,0,0,260716792559,1
0.0,2.34,5.1355,0,0,0,0,0,0,0,260716792941,1
0.0,2.36,3.4488,0,0,0,0,0,0,0,260716793111,1
2.0,2.32,2.6018,0,0,0,0,0,0,0,260716793139,1
3.0,2.22,5.1146,0,0,0,0,0,0,1,260716793143,1
0.0,2.3,4.0741,0,0,0,0,0,0,0,260716793178,1
4.0,2.28,6.6191,0,0,0,0,0,0,0,260716793304,1
0.0,2.32,4.7676,0,0,0,0,0,0,0,260716793305,1
3.0,2.3,6.3629,0,0,0,0,0,0,0,260716793637,1
0.0,2.3,3.5962,0,0,0,0,0,0,0,260716794236,1
0.0,2.22,2.7572,0,1,0,0,0,1,1,260716794313,1
0.0,2.3,5.1151,0,0,0,0,0,0,0,260716794783,1
2.0,2.3,2.6625,0,0,0,0,0,0,0,260716794943,1
0.0,2.28,2.651,0,0,0,0,0,0,0,260716794959,1
0.0,2.44,2.5517,0,0,0,0,0,0,0,260716794984,1
0.0,2.32,4.8685,0,0,0,0,0,0,0,260716795106,1
0.0,2.36,3.4014,0,0,0,0,0,0,0,260716796108,1
